ct10_id,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me
25025170300,1965,295000,63394,228000,6,2,3,4500,2060,845.5,15542.5,5.7,2050.5,11,25,12,32,39,13,0,25,0,32,125,68,9,3,110,113,110,492,59,24,42,989,48,1109,53,492,339,23,260,6,39.3,1162,2010,9040,4372,4668,1687,5901,1452,6533,465,11,503,1,150,157,1220,2237,3586,2237,881,572,435,215,80,54,1349,1031,279,30,5,2,2,0,2007-11,61319,10799,67238,10428,48036,10030
25025130406,1960,3e+05,77000,212000,6,2,3,4800,1429,1002.5,27400,10.87,1450.5,12,6,6,15,7,2,0,6,0,39,25,18,2,3,26,27,26,200,18,6,8,349,10,379,12,200,19,7,144,1,41.4,391,2010,5107,2244,2863,1537,2943,627,1594,2063,8,256,0,23,103,1060,1327,2112,1327,521,376,266,101,46,17,785,682,94,7,1,1,0,0,2007-11,29271,9726,73523,24753,20739,7772
25025000503,1935,211750,105700,160000,3,1,1,638,637,1102,27500,15.26,650.5,14,5,4,12,2,2,0,9,0,5,27,3,2,1,57,59,57,1,8,8,10,539,25,583,7,1,2,2,581,0,25.6,590,2010,2211,1028,1183,54,2016,141,1739,55,2,264,0,11,44,96,246,1341,246,181,50,12,2,1,0,1095,667,347,60,18,1,1,1,2007-11,49531,24007,49688,30677,47337,30538
25021400400,1925,469000,85000,287200,4,2,2,0,1139,1113,55000,15.56,1150.5,13,18,6,28,3,1,0,202,0,6,57,6,1,0,73,75,73,134,8,14,30,984,41,1058,19,134,47,6,866,1,36.8,1077,2010,5449,2291,3158,756,3804,889,4303,83,4,709,0,9,111,230,1072,2737,1072,548,266,180,54,16,8,1665,1264,245,92,41,20,2,1,2007-11,69402,15652,129286,34821,39415,7741
25023506101,1981,4e+05,25500,226450,7,3,3,25025.5,2268,880.5,49000,12.71,2250.5,10,22,18,71,18,5,0,113,0,90,129,15,5,0,140,147,140,1052,44,21,44,1136,51,1263,33,1052,7,2,109,48,40.9,1296,2010,6531,3185,3346,1758,3804,969,6269,25,9,64,2,9,70,83,1844,2362,1844,759,371,432,214,53,15,518,423,90,4,0,1,0,0,2007-11,98784,11654,98664,9498,155236,184099
25017361300,1962,740000,232000,372600,8,3,4,40000,2666.5,893,87000,15.305,2750.5,13,38,30,64,3,1,0,27,0,46,107,8,1,0,93,103,93,801,10,9,20,966,39,1003,41,801,15,0,167,10,40.1,1044,2010,6246,3115,3131,1572,3555,1119,5528,151,5,255,0,8,92,207,1693,2290,1693,722,361,391,159,48,12,597,518,73,4,0,0,1,1,2007-11,136783,14844,151860,8035,83056,45398
25017334100,1952,415000,44282,3e+05,7,2,3,12000.5,2059.5,1104,73710,20.83,2050.5,11,20,9,25,3,2,0,11,0,26,70,9,1,0,62,63,62,740,18,9,17,752,22,795,23,740,20,0,38,1,47.8,818,2010,6718,3340,3378,1772,4183,763,6104,90,4,309,3,13,69,126,1840,2484,1840,678,421,466,218,47,10,644,511,125,5,3,0,0,0,2007-11,103650,6495,113384,9730,74125,43561
25023503101,1985,389000,63000,252000,8,3,3,30928,2258,751,52100,14.94,2250.5,10,63,31,99,15,9,0,189,0,89,245,19,4,0,166,174,166,951,40,28,47,1114,94,1253,70,951,15,1,172,43,39.5,1323,2010,7176,3595,3581,2093,4243,840,6843,71,6,75,1,25,70,85,1980,2340,1980,644,428,523,282,82,21,360,296,51,8,3,0,2,0,2007-11,119427,23767,131917,11142,34716,56216
25023503102,1967,366000,87000,254000,8,2,3,32234,2012,861,65500,18.85,2050.5,11,55,36,64,10,1,0,45,0,81,137,9,2,0,103,107,103,853,18,16,26,923,60,979,64,853,14,2,37,36,45.1,1043,2010,6703,3180,3523,1785,3906,1012,6457,35,7,85,3,22,51,43,1760,2369,1760,593,398,456,218,67,28,609,525,72,9,3,0,0,0,2007-11,86971,11591,106091,11141,23558,22236
25021403300,1961,660000,215000,417000,8,3,4,15246,2814,1056,120050,23.8,2850.5,13,34,32,36,5,0,0,27,0,36,63,3,0,0,81,90,81,724,21,19,26,743,36,810,35,724,20,1,44,2,38.7,845,2010,4222,2078,2144,1285,2274,663,3841,41,3,169,1,9,59,99,1150,1401,1150,431,223,307,146,33,10,251,220,26,1,3,0,1,0,2007-11,153182,27858,161500,20785,42857,31719
